id,label,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,feat90,feat91,feat92,feat93,feat94,feat95,feat96,feat97,feat98,feat99,feat100,feat101,feat102,feat103,feat104,feat105,feat106,feat107,feat108,feat109,feat110,feat111,feat112,feat113,feat114,feat115,feat116,feat117,feat118,feat119,feat120,feat121,feat122,feat123,feat124,feat125,feat126,feat127,feat128,feat129,feat130,feat131,feat132,feat133,feat134,feat135,feat136,feat137,feat138,feat139,feat140,feat141,feat142,feat143,feat144,feat145,feat146,feat147,feat148,feat149,feat150,feat151,feat152,feat153,feat154,feat155,feat156,feat157,feat158,feat159,feat160,feat161,feat162,feat163,feat164,feat165,feat166,feat167,feat168,feat169,feat170,feat171,feat172,feat173,feat174,feat175,feat176,feat177,feat178,feat179,feat180,feat181,feat182,feat183,feat184,feat185,feat186,feat187,feat188,feat189,feat190,feat191,feat192,feat193,feat194,feat195,feat196,feat197,feat198,feat199,feat200,feat201,feat202,feat203,feat204,feat205,feat206,feat207,feat208,feat209,feat210,feat211,feat212,feat213,feat214,feat215,feat216
11,1,0,2,1,0,6,9,1,0,0,0,6,0,3,2,3,0,2,2,2,1,5,1,2,0,0,4,1,2,0,0,0,0,0,3,27,0,8,0,0,0,4,0,9,2,1,0,3,0,1,2,1,0,36,30,0,0,2,35,2,0,0,3,4,5,4,0,42,0,31,0,0,0,4,0,1,0,0,3,0,0,2,2,6,1,0,4,0,0,0,0,0,0,1,4,1,0,1,0,0,1,5,2,1,0,0,1,31,4,1,0,0,2,1,9,0,1,1,0,0,2,5,0,0,0,1,26,0,0,0,3,0,1,0,0,1,0,1,2,0,0,2,3,0,1,1,7,0,2,3,0,1,2,0,2,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,1,0,0,0,1,0,2,4,0,0,2,3,2,2,0,0,0,3,1,7,0,0,2,0,29,0,1,0,2,0,9,30,4,0,7,0,0,1,2
12,1,8,1,1,0,0,1,1,0,0,3,0,13,0,0,0,1,0,0,1,0,4,0,9,0,3,1,0,14,0,4,10,0,9,8,0,15,0,0,0,3,0,9,7,7,1,9,2,0,3,0,2,9,5,2,0,2,0,0,0,0,1,0,3,14,0,4,3,1,2,0,14,0,0,2,1,0,3,0,0,2,0,1,0,7,2,0,1,0,5,0,1,4,2,5,0,1,23,0,0,7,8,1,1,1,7,7,6,1,8,0,2,7,0,0,1,14,0,0,0,2,1,1,1,1,0,3,0,11,3,8,0,3,0,1,0,0,0,1,0,0,0,1,3,0,6,4,0,0,2,4,0,1,2,3,4,17,1,17,2,0,0,1,0,1,0,1,4,9,0,1,2,0,0,0,2,1,1,0,3,0,0,7,1,4,0,7,0,0,1,8,14,5,6,1,0,0,1,0,0,7,2,2,2,7,0,0,13,1,0,1,0,18,0,19,0,0
13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,7,0,0,0,0,0,8,0,0,0,18,1,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,0,19,0,0,49,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,40,0,0,0,0,0,0,5,1,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26,0,0,1,0,0,8,0,0,1,0,0,1,0,1,0,5,0,19,0,0,0,0,0,0,0,2,15,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,15,20,10,0,10,2,7,0,0,0,0,37,0,0,0,21,1,0,0,0,9,0,0,0,0,4,0,26,0,0,6,0,27,0,2,2,0,2,0,0,0,0,1,0,0,1,0,0,62,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
14,1,4,1,2,0,0,4,0,6,0,6,1,11,3,0,0,3,5,1,5,0,0,1,2,0,0,0,3,4,0,2,6,0,5,1,1,9,0,0,2,8,2,5,14,6,3,5,0,3,2,2,4,14,2,2,1,1,0,2,0,0,12,2,3,8,0,0,6,1,10,0,12,0,1,4,2,4,0,0,0,2,1,6,2,3,0,0,4,2,0,2,5,8,2,14,0,2,4,4,7,7,4,1,0,5,1,14,3,0,0,1,8,3,0,0,0,6,0,0,3,4,1,1,0,0,2,3,1,2,4,3,0,4,0,3,1,1,0,0,2,1,1,3,9,0,4,1,1,1,3,0,2,0,1,2,2,5,0,3,2,1,2,0,0,1,0,4,2,4,0,4,3,0,3,0,2,4,1,0,7,0,3,6,11,3,1,6,0,0,2,14,10,4,2,0,1,0,3,1,1,3,2,2,2,1,1,3,13,5,1,0,0,11,1,19,0,1
15,1,0,1,3,0,0,0,0,3,3,0,0,10,0,0,0,0,3,0,4,7,0,1,0,1,0,0,1,0,0,0,9,0,1,1,0,1,0,1,2,0,0,3,19,5,3,2,0,0,3,2,1,30,1,0,0,0,0,0,0,3,5,0,0,5,0,0,7,5,0,13,4,1,0,5,23,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,4,1,10,0,0,2,0,0,17,2,0,0,0,7,0,2,0,0,0,0,0,4,0,3,0,0,2,1,0,0,0,3,1,0,3,0,10,7,0,1,0,0,0,2,0,4,1,0,1,1,2,0,0,0,0,5,0,1,5,0,1,3,0,2,2,1,1,0,1,5,2,2,8,0,1,0,0,0,3,9,0,10,0,6,22,16,10,0,1,1,0,4,19,0,29,2,1,2,0,1,0,1,6,3,0,19,0,0,0,5,0,0,0,0,21,1,38,0,1
16,1,0,1,10,0,0,2,3,0,11,1,0,5,0,0,0,0,0,0,2,17,0,1,0,1,2,1,5,0,0,0,3,0,0,2,0,0,0,0,0,2,0,1,5,3,5,2,0,0,18,1,0,22,4,1,0,1,0,0,0,4,1,0,0,14,0,0,6,3,1,4,0,0,0,0,41,0,1,3,1,35,3,1,1,7,1,1,1,1,0,0,1,0,2,1,0,0,3,2,1,23,1,0,0,2,1,19,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,13,0,0,0,0,10,0,0,9,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,1,1,1,0,4,14,7,1,0,2,0,4,0,5,0,10,1,1,0,1,0,1,0,0,0,0,0,1,2,10,0,14,0,1,44,20,10,0,0,2,0,0,4,1,7,0,1,0,0,0,0,0,2,0,0,10,1,0,0,20,0,0,0,1,15,0,12,0,0
17,1,12,1,1,1,0,1,1,3,0,4,0,19,4,0,1,0,2,1,0,0,6,0,3,0,0,1,3,2,0,4,1,0,0,5,2,0,9,0,1,3,1,2,47,0,0,3,1,2,0,0,0,13,22,11,0,1,0,11,2,0,2,3,1,8,0,1,12,0,12,1,18,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,1,0,0,2,1,1,2,8,0,2,2,2,1,7,4,0,1,0,2,15,22,1,1,3,0,4,0,0,1,1,1,2,1,3,1,0,0,0,2,5,0,0,1,19,0,0,0,0,0,1,0,0,0,1,1,3,4,0,9,11,1,0,0,0,1,0,0,0,2,3,0,1,3,1,2,0,0,0,1,1,0,0,0,2,8,0,0,2,2,2,0,0,1,0,1,1,2,0,0,1,0,0,0,44,15,3,0,0,1,0,1,0,0,3,3,6,2,0,1,1,9,1,5,10,0,21,0,11,1,0
18,0,2,0,0,0,0,7,0,17,0,26,2,12,2,0,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,3,11,0,0,3,1,2,44,1,0,2,1,0,0,0,2,4,2,1,0,0,0,30,0,0,4,0,7,1,0,0,0,0,29,0,24,1,2,2,1,0,0,0,0,0,0,7,0,0,0,1,3,0,0,5,17,2,0,23,0,2,4,1,0,1,6,0,0,0,0,13,21,0,1,0,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,17,0,2,1,8,1,0,0,0,0,0,0,0,0,0,0,4,3,1,11,1,0,1,0,0,9,0,0,0,0,10,0,4,0,0,1,0,0,0,0,0,0,2,0,3,18,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,36,27,2,1,0,0,0,2,0,0,6,2,1,1,1,1,1,7,4,1,15,0,14,0,3,0,0
19,1,3,3,3,0,1,6,2,5,0,0,0,6,0,1,0,1,7,1,2,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,10,0,0,0,5,1,0,0,1,1,5,8,2,0,1,0,2,4,0,2,3,2,0,1,11,1,0,0,3,0,10,1,1,11,4,8,2,7,0,0,0,1,2,23,17,1,0,2,0,10,0,11,10,0,2,14,2,0,1,20,0,0,10,7,0,0,0,1,3,0,0,0,1,2,0,0,1,0,3,2,1,1,0,1,0,0,1,13,9,0,0,3,2,2,0,5,2,1,0,0,9,2,15,2,6,0,11,2,2,5,0,1,0,0,0,0,0,1,1,0,1,11,6,0,1,0,1,0,0,0,1,9,3,0,5,0,3,8,0,3,0,0,3,2,3,1,1,0,1,9,4,4,11,4,1,0,0,0,4,8,4,0,0,3,5,1,1,20,0,26,3,0,0,1,0,2,12,9
20,1,6,0,2,0,0,0,1,4,0,4,0,9,1,0,0,0,3,1,13,0,0,3,0,1,1,0,0,0,1,5,6,0,8,2,0,5,1,1,0,4,1,3,2,12,5,10,0,2,3,0,2,16,1,0,1,7,0,0,0,0,0,1,1,13,0,1,0,0,1,2,9,0,2,2,0,0,1,3,0,2,0,3,1,5,1,0,2,0,2,0,2,4,1,3,1,0,27,1,1,13,1,2,0,2,1,28,3,1,0,0,1,2,0,0,0,4,0,0,0,0,4,0,0,0,1,1,0,18,13,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,8,2,0,0,5,1,0,2,2,2,3,24,0,11,8,0,3,0,1,2,0,1,6,6,0,3,2,1,0,0,2,5,0,0,2,0,1,5,2,10,0,1,0,0,0,1,11,11,15,0,1,0,1,1,0,31,2,0,0,3,1,0,13,0,0,2,0,18,0,23,0,0
21,0,0,0,3,0,2,18,1,3,0,4,8,1,0,0,0,0,5,3,1,1,1,3,8,1,1,1,0,4,1,5,0,1,0,3,0,0,0,0,11,0,4,0,1,1,0,0,17,0,1,1,0,5,1,2,0,0,0,5,2,0,0,10,23,0,0,1,0,1,4,0,7,1,9,10,1,0,1,0,1,0,0,3,5,0,3,2,0,0,2,2,24,0,0,10,0,9,1,1,0,0,28,8,1,0,13,2,6,10,1,1,2,14,0,2,0,0,0,0,0,12,2,0,0,0,0,11,1,0,1,19,0,0,0,1,1,0,1,1,1,1,0,14,8,1,13,0,1,2,2,1,5,1,0,0,0,3,0,1,0,14,7,0,0,6,0,2,1,4,0,2,23,0,1,1,1,13,0,4,0,3,0,0,0,0,1,0,0,6,0,1,1,0,1,0,0,0,0,7,0,0,0,2,0,0,2,5,0,6,3,4,1,1,0,1,11,9
22,1,1,11,1,1,5,3,0,8,2,0,1,5,0,2,1,0,15,4,8,0,0,6,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,3,14,1,3,0,6,5,0,0,3,2,4,6,1,10,1,0,3,0,1,2,0,1,10,0,6,0,0,0,0,5,4,0,5,5,6,9,5,3,2,2,0,1,0,6,17,0,0,2,0,12,0,0,0,0,1,5,1,0,1,7,1,1,0,8,2,1,0,9,4,4,0,0,9,0,3,0,0,0,1,0,7,0,11,0,0,0,0,1,3,3,1,3,1,3,2,4,5,0,0,2,3,1,5,1,9,5,2,3,6,8,3,1,0,5,2,0,0,3,0,2,1,1,11,0,1,1,0,6,1,1,0,6,1,0,4,0,2,16,0,2,1,0,4,1,6,6,2,0,0,0,8,12,4,4,2,0,1,3,6,6,3,4,0,0,5,0,4,2,3,7,1,0,0,5,1,12,5,15
23,0,0,0,0,1,0,5,0,3,0,6,0,11,7,0,2,0,11,7,2,0,1,2,0,0,0,0,0,2,1,32,7,2,1,1,2,0,3,0,8,7,1,2,3,0,0,1,1,3,0,0,0,36,0,0,0,0,0,1,0,2,0,4,3,1,0,0,1,0,3,0,34,0,1,0,1,0,0,0,2,0,0,4,2,1,1,2,1,0,0,0,19,2,0,28,1,3,1,0,4,2,7,6,1,1,8,7,3,2,0,0,14,3,0,0,0,12,1,1,1,2,1,0,0,0,0,3,0,2,0,29,0,0,0,0,0,0,0,0,1,1,1,1,8,7,5,2,0,1,2,0,2,0,0,0,0,6,0,1,0,4,6,0,0,0,1,9,0,4,0,0,18,0,0,1,6,13,0,1,2,0,1,0,1,0,0,1,0,0,0,3,10,1,0,0,2,0,6,0,0,1,0,3,1,0,2,7,5,8,0,2,0,13,2,20,4,2
24,1,1,22,2,2,2,4,0,11,11,0,0,4,2,5,0,0,10,0,10,5,0,0,0,0,2,3,0,0,0,4,5,0,0,0,0,2,0,0,20,0,0,0,9,7,0,0,0,0,4,9,1,6,0,0,0,0,0,0,0,1,18,0,5,0,1,0,1,3,4,1,1,4,2,10,3,0,0,2,0,3,0,2,18,0,1,0,3,11,0,0,6,0,0,1,0,0,1,6,0,0,1,3,0,4,1,12,0,4,0,0,15,1,5,0,2,1,0,1,14,0,11,2,0,0,0,1,6,3,0,1,0,4,0,6,2,0,0,0,2,0,7,1,11,5,3,2,4,4,1,0,0,3,1,0,0,2,1,0,0,0,5,3,2,1,0,1,0,1,2,6,0,1,2,0,3,20,0,0,3,1,2,3,10,2,8,0,1,0,14,4,4,9,1,0,5,6,6,1,0,5,1,0,2,0,2,0,2,4,3,1,0,9,1,10,2,10
25,1,0,5,1,0,0,0,0,21,7,0,0,2,0,1,0,0,9,1,1,6,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,1,0,2,5,0,0,0,16,9,4,2,0,0,6,6,0,13,1,0,0,0,0,0,0,0,13,0,4,1,0,0,0,10,1,11,3,9,0,15,8,2,0,1,0,17,0,0,4,0,0,0,0,4,0,0,4,0,0,1,0,2,1,15,4,3,0,1,1,1,2,14,2,0,0,0,9,0,4,0,1,0,0,0,6,0,6,3,0,0,0,0,6,1,2,3,0,3,0,15,6,0,0,0,2,0,3,0,20,1,0,2,2,8,0,0,0,4,2,0,0,0,0,0,1,0,3,0,3,1,0,1,1,0,1,13,0,1,0,0,1,5,1,0,11,2,4,11,24,4,3,0,1,0,8,17,1,24,0,0,3,0,8,0,0,3,0,0,6,0,2,0,4,0,0,0,1,14,0,21,0,4
26,0,0,4,1,0,37,4,0,0,1,0,1,0,1,6,2,0,4,3,4,2,0,5,0,1,1,6,0,4,2,2,0,1,0,1,3,2,0,0,10,0,5,0,0,1,0,0,13,0,2,9,0,2,0,1,0,0,1,5,1,1,1,10,2,0,6,1,2,1,0,0,0,0,6,1,2,1,2,1,1,1,1,6,41,0,1,1,0,11,0,0,0,0,2,2,17,0,0,0,0,0,2,21,4,0,1,2,2,17,0,0,0,1,1,3,1,2,0,0,0,1,19,0,1,1,1,2,0,1,0,1,0,1,2,0,0,0,1,22,1,1,2,1,0,2,0,0,2,15,3,0,0,2,0,2,0,0,2,2,0,21,1,2,4,1,0,9,1,1,1,0,5,0,2,0,0,26,1,26,0,0,2,0,0,1,4,0,0,0,13,0,0,0,0,1,1,2,0,19,0,3,0,2,0,1,2,1,1,9,0,0,0,0,1,0,16,3
27,0,0,0,1,0,0,14,0,3,0,7,1,3,0,0,0,0,4,3,2,0,1,0,4,0,2,0,0,1,0,15,0,1,1,3,0,2,3,0,7,5,1,0,3,1,0,0,4,2,0,0,0,19,4,0,0,1,0,6,0,0,1,4,10,2,0,0,0,0,19,0,14,0,0,5,0,2,0,0,1,1,0,10,2,1,0,0,0,0,0,1,18,1,0,40,1,4,1,1,2,0,21,14,0,1,4,3,5,2,1,1,7,1,0,0,0,7,0,0,0,3,1,1,0,0,0,9,0,1,0,25,0,1,0,0,0,1,0,0,1,0,0,2,9,1,11,1,0,0,1,1,2,1,0,0,0,1,0,3,1,6,7,0,0,0,0,5,0,2,0,0,23,0,1,0,2,22,0,5,0,0,0,0,2,0,0,0,0,4,0,14,14,2,0,1,0,0,2,1,0,1,3,0,0,3,0,12,4,23,4,0,0,1,1,17,2,4
28,0,2,0,0,0,0,2,0,2,0,21,0,9,0,0,0,0,1,0,0,0,3,0,2,0,0,1,1,0,0,6,0,0,2,0,3,1,4,0,0,2,0,1,50,0,0,2,0,0,0,0,0,14,11,4,0,1,0,14,0,0,0,2,2,4,2,0,4,0,16,0,43,0,0,0,0,0,0,0,1,1,0,3,0,4,1,0,0,0,0,1,3,0,0,9,0,1,0,0,0,2,9,0,1,0,4,5,48,0,0,1,0,8,0,0,1,0,0,0,0,3,0,0,0,0,1,23,0,1,0,31,0,0,0,0,0,1,0,1,0,0,0,6,7,0,17,8,0,0,0,0,2,0,0,0,2,1,0,4,0,1,5,0,0,0,0,0,0,1,0,0,7,0,0,0,0,6,0,2,0,0,0,0,0,0,1,2,0,1,0,60,19,1,0,0,0,0,2,1,0,2,0,1,1,4,0,1,2,2,2,17,0,4,0,9,0,0
